"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","ligueone_goalmins","n","ligueone_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"157","F1","2022-12-29","Lorient","Montpellier",0,2,"A",0,2,"A",2.05,3.75,3.71,"0-2","0-2",12,4,14,6,3,4,0,0,5,2,15,15,2,7,30,"5-2","Y","N","N",7,0,"Lorient-Montpellier",25,2,32,70,1200,140,490,2240,14,64,224,175,980
"169","F1","2023-01-02","Montpellier","Marseille",1,2,"A",0,0,"D",4.41,4.09,1.81,"0-0","1-2",8,1,18,9,2,2,0,1,5,7,10,14,3,12,24,"5-7","Y","Y","N",4,1,"Montpellier-Marseille",198,3,55,65,900,195,780,3575,36,165,660,2376,2340
"177","F1","2023-01-11","Nice","Montpellier",6,1,"H",2,0,"H",1.85,3.73,4.68,"2-0","6-1",16,10,4,2,1,1,0,0,3,4,16,17,7,7,33,"3-4","Y","Y","Y",2,0,"Nice-Montpellier",428,7,117,20,100,140,140,2340,49,819,819,2996,980
"186","F1","2023-01-15","Montpellier","Nantes",0,3,"A",0,1,"A",2.62,3.51,2.81,"0-1","0-3",11,5,12,7,1,2,2,0,3,5,13,14,3,8,27,"3-5","Y","Y","N",3,2,"Montpellier-Nantes",210,3,44,80,1200,240,640,3520,24,132,352,1680,1920
"195","F1","2023-01-29","Auxerre","Montpellier",0,2,"A",0,0,"D",2.51,3.43,3.01,"0-0","0-2",16,5,4,3,1,3,0,0,5,3,13,18,2,8,31,"5-3","Y","N","N",4,0,"Auxerre-Montpellier",142,2,20,40,300,80,320,800,16,40,160,1136,640
"209","F1","2023-02-01","Montpellier","Paris SG",1,3,"A",0,0,"D",8.54,6.09,1.34,"0-0","1-3",6,3,19,8,1,1,0,0,1,3,9,12,4,4,21,"1-3","Y","Y","Y",2,0,"Montpellier-Paris SG",306,4,0,20,100,80,80,0,16,0,0,1224,320
"218","F1","2023-02-05","Strasbourg","Montpellier",2,0,"H",2,0,"H",2.16,3.37,3.82,"2-0","2-0",6,2,11,0,3,1,1,0,4,7,11,16,2,11,27,"4-7","Y","N","N",4,1,"Strasbourg-Montpellier",46,2,0,65,550,130,715,0,22,0,0,506,1430
"227","F1","2023-02-12","Montpellier","Brest",3,0,"H",2,0,"H",2.41,3.39,3.2,"2-0","3-0",16,7,10,2,1,2,0,0,4,3,15,20,3,7,35,"4-3","Y","Y","N",3,0,"Montpellier-Brest",75,3,0,30,200,90,210,0,21,0,0,525,630
"238","F1","2023-02-19","Troyes","Montpellier",0,1,"A",0,0,"D",2.92,3.32,2.64,"0-0","0-1",4,2,19,7,2,1,1,1,2,10,12,9,1,12,21,"2-10","N","N","N",3,2,"Troyes-Montpellier",90,1,99,80,1575,80,960,7920,12,99,1188,1080,960
"243","F1","2023-02-25","Montpellier","Lens",1,1,"D",0,1,"A",4.6,3.72,1.86,"0-1","1-1",8,3,19,6,0,3,0,0,4,6,12,13,2,10,25,"4-6","Y","N","N",3,0,"Montpellier-Lens",63,2,47,30,0,60,300,1410,20,94,470,630,600
"255","F1","2023-03-05","Montpellier","Angers",5,0,"H",3,0,"H",1.76,3.73,5.11,"3-0","5-0",15,8,10,4,1,4,0,1,6,5,10,18,5,11,28,"6-5","Y","Y","Y",5,1,"Montpellier-Angers",196,5,169,75,650,375,825,12675,55,845,1859,2156,4125
"5","F1","2022-08-07","Angers","Nantes",0,0,"D",0,0,"D",2.82,3.29,2.75,"0-0","0-0",16,6,14,4,3,3,0,0,3,6,15,13,0,9,28,"3-6","N","N","N",6,0,"Angers-Nantes",0,0,0,60,900,0,540,0,0,0,0,0,0
"15","F1","2022-08-14","Auxerre","Angers",2,2,"D",2,1,"H",2.31,3.18,3.64,"2-1","2-2",11,4,11,2,5,3,1,0,4,5,10,16,4,9,26,"4-5","Y","Y","Y",8,1,"Auxerre-Angers",113,4,69,105,2250,420,945,7245,36,276,621,1017,3780
"24","F1","2022-08-21","Angers","Brest",1,3,"A",0,2,"A",2.39,3.28,3.35,"0-2","1-3",7,5,11,7,2,0,1,0,3,6,9,10,4,9,19,"3-6","Y","Y","Y",2,1,"Angers-Brest",183,4,55,45,0,180,405,2475,36,220,495,1647,1620
"37","F1","2022-08-28","Troyes","Angers",3,1,"H",1,0,"H",2.5,3.42,3.04,"1-0","3-1",25,11,7,3,2,3,0,1,8,3,8,12,4,11,20,"8-3","Y","Y","Y",5,1,"Troyes-Angers",222,4,83,75,1100,300,825,6225,44,332,913,2442,3300
"40","F1","2022-08-31","Angers","Reims",2,4,"A",0,2,"A",2.66,3.3,2.92,"0-2","2-4",10,3,11,5,1,6,0,1,4,3,9,15,6,7,24,"4-3","Y","Y","Y",7,1,"Angers-Reims",354,6,183,95,850,570,665,17385,42,1098,1281,2478,3990
"51","F1","2022-09-03","Lyon","Angers",5,0,"H",2,0,"H",1.32,6.23,9.49,"2-0","5-0",16,9,8,3,2,1,0,0,13,3,5,9,5,16,14,"13-3","Y","Y","Y",3,0,"Lyon-Angers",278,5,37,30,200,150,480,1110,80,185,592,4448,2400
"661","F1","2022-09-11","Angers","Montpellier",2,1,"H",1,1,"D",2.44,3.8,2.86,"1-1","2-1",11,5,7,2,2,4,0,0,2,5,15,12,3,7,27,"2-5","Y","Y","N",6,0,"Angers-Montpellier",85,3,37,60,800,180,420,2220,21,111,259,595,1260
"78","F1","2022-09-18","Nice","Angers",0,1,"A",0,1,"A",1.67,4.09,5.52,"0-1","0-1",18,5,16,3,0,4,1,1,5,4,9,11,1,9,20,"5-4","N","N","N",4,2,"Nice-Angers",43,1,6,90,1625,90,810,540,9,6,54,387,810
"81","F1","2022-09-30","Angers","Marseille",0,3,"A",0,1,"A",4.64,3.97,1.79,"0-1","0-3",16,5,15,7,0,0,0,0,6,3,9,14,3,9,23,"6-3","Y","Y","N",0,0,"Angers-Marseille",144,3,26,0,0,0,0,0,27,78,234,1296,0
"95","F1","2022-10-09","Angers","Strasbourg",2,3,"A",1,2,"A",2.69,3.41,2.8,"1-2","2-3",14,8,15,7,1,1,0,0,6,6,16,14,5,12,30,"6-6","Y","Y","Y",2,0,"Angers-Strasbourg",196,5,62,20,100,100,240,1240,60,310,744,2352,1200
"104","F1","2022-10-16","Toulouse","Angers",3,2,"H",2,1,"H",1.88,4.13,4.03,"2-1","3-2",14,7,13,6,3,2,0,0,2,8,12,15,5,10,27,"2-8","Y","Y","Y",5,0,"Toulouse-Angers",240,5,52,50,600,250,500,2600,50,260,520,2400,2500
"114","F1","2022-10-23","Angers","Rennes",1,2,"A",0,1,"A",4.47,4.04,1.81,"0-1","1-2",7,2,14,5,2,2,0,0,5,6,9,11,3,11,20,"5-6","Y","Y","N",4,0,"Angers-Rennes",186,3,51,40,400,120,440,2040,33,153,561,2046,1320
"126","F1","2022-10-30","Monaco","Angers",2,0,"H",0,0,"D",1.39,5.53,7.84,"0-0","2-0",8,5,8,4,3,3,0,0,7,0,18,15,2,7,33,"7-0","Y","N","N",6,0,"Monaco-Angers",124,2,53,60,900,120,420,3180,14,106,371,868,840
"133","F1","2022-11-05","Angers","Lens",1,2,"A",0,1,"A",5.02,4.09,1.72,"0-1","1-2",6,3,12,4,1,2,0,0,3,4,16,6,3,7,22,"3-4","Y","Y","N",3,0,"Angers-Lens",159,3,41,30,200,90,210,1230,21,123,287,1113,630
"146","F1","2022-11-13","Lille","Angers",1,0,"H",1,0,"H",1.32,5.8,10.51,"1-0","1-0",9,4,8,2,3,1,1,0,2,6,18,12,1,8,30,"2-6","N","N","N",4,1,"Lille-Angers",36,1,3,65,550,65,520,195,8,3,24,288,520
"151","F1","2022-12-28","Ajaccio","Angers",1,0,"H",1,0,"H",2.05,3.45,4.08,"1-0","1-0",11,3,14,4,1,0,0,0,3,5,13,13,1,8,26,"3-5","N","N","N",1,0,"Ajaccio-Angers",40,1,92,10,0,10,80,920,8,92,736,320,80
"161","F1","2023-01-01","Angers","Lorient",1,2,"A",1,0,"H",2.82,3.59,2.57,"1-0","1-2",14,6,10,5,3,0,0,0,7,7,16,9,3,14,25,"7-7","Y","Y","N",3,0,"Angers-Lorient",177,3,48,30,0,90,420,1440,42,144,672,2478,1260
"178","F1","2023-01-11","Paris SG","Angers",2,0,"H",1,0,"H",1.13,10.7,19.37,"1-0","2-0",9,6,6,0,1,2,0,0,5,1,5,10,2,6,15,"5-1","Y","N","N",3,0,"Paris SG-Angers",77,2,74,30,200,60,180,2220,12,148,444,462,360
"185","F1","2023-01-15","Angers","Clermont",1,2,"A",0,1,"A",2.48,3.59,2.94,"0-1","1-2",5,1,10,6,2,2,0,0,3,1,15,11,3,4,26,"3-1","Y","Y","N",4,0,"Angers-Clermont",167,3,28,40,400,120,160,1120,12,84,112,668,480
"196","F1","2023-01-29","Brest","Angers",4,0,"H",2,0,"H",2.16,3.51,3.65,"2-0","4-0",9,7,8,1,0,2,0,0,4,5,10,17,4,9,27,"4-5","Y","Y","Y",2,0,"Brest-Angers",191,4,66,20,0,80,180,1320,36,264,594,1719,720
"201","F1","2023-02-01","Angers","Ajaccio",1,2,"A",1,0,"H",2.34,3.15,3.61,"1-0","1-2",6,2,9,4,1,2,1,0,2,6,18,11,3,8,29,"2-6","Y","Y","N",3,1,"Angers-Ajaccio",168,3,60,55,700,165,440,3300,24,180,480,1344,1320
"217","F1","2023-02-05","Lorient","Angers",0,0,"D",0,0,"D",1.9,3.64,4.48,"0-0","0-0",13,2,13,5,2,4,0,0,8,6,16,16,0,14,32,"8-6","N","N","N",6,0,"Lorient-Angers",0,0,0,60,800,0,840,0,0,0,0,0,0
"225","F1","2023-02-12","Angers","Auxerre",1,1,"D",1,1,"D",2.29,3.47,3.36,"1-1","1-1",10,5,15,4,2,0,0,0,6,4,10,9,2,10,19,"6-4","Y","N","N",2,0,"Angers-Auxerre",24,2,0,20,0,40,200,0,20,0,0,240,400
"233","F1","2023-02-18","Strasbourg","Angers",2,1,"H",2,0,"H",1.88,3.64,4.58,"2-0","2-1",18,5,10,3,3,3,0,0,4,5,14,16,3,9,30,"4-5","Y","Y","N",6,0,"Strasbourg-Angers",129,3,46,60,900,180,540,2760,27,138,414,1161,1620
"242","F1","2023-02-25","Angers","Lyon",1,3,"A",0,1,"A",5.07,3.98,1.74,"0-1","1-3",11,2,7,5,0,0,0,0,2,2,16,6,4,4,22,"2-2","Y","Y","Y",0,0,"Angers-Lyon",295,4,75,0,0,0,0,0,16,300,300,1180,0
"2551","F1","2023-03-05","Montpellier","Angers",5,0,"H",3,0,"H",1.76,3.73,5.11,"3-0","5-0",15,8,10,4,1,4,0,1,6,5,10,18,5,11,28,"6-5","Y","Y","Y",5,1,"Montpellier-Angers",196,5,169,75,650,375,825,12675,55,845,1859,2156,4125
"531","F1","2023-03-05","Montpellier","Angers",5,0,"H",3,0,"H",1.76,3.73,5.11,"3-0","5-0",15,8,10,4,1,4,0,1,6,5,10,18,5,11,28,"6-5","Y","Y","Y",5,1,"Montpellier-Angers",156.326923076923,3.19230769230769,59.3269230769231,52.5961538461538,760.576923076923,165.192307692308,516.634615384615,3337.01923076923,30.2692307692308,254.134615384615,568.192307692308,1482.13461538462,1643.94230769231
