"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","TG","TC","COSC","OV15","OV25","OV35","TY","TR","matchid","laliga_goalmins","n","laliga_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"107","SP1",2022-10-23,"Girona","Osasuna",1,1,"D",1,1,"D",2.64,3.24,3,"1-1","1-1",7,1,9,2,2,3,0,0,3,5,2,8,"3-5","Y","N","N",5,0,"Girona-Osasuna",82,2,16,50,600,100,400,800,16,32,128,656,800
"116","SP1",2022-10-30,"Osasuna","Valladolid",2,0,"H",2,0,"H",1.93,3.49,4.55,"2-0","2-0",20,10,7,2,1,3,0,0,1,8,2,9,"1-8","Y","N","N",4,0,"Osasuna-Valladolid",0,0,0,40,300,80,360,0,18,0,0,0,720
"124","SP1",2022-11-05,"Celta","Osasuna",1,2,"A",1,2,"A",2.19,3.36,3.73,"1-2","1-2",13,5,8,4,1,5,0,0,2,3,3,5,"2-3","Y","Y","N",6,0,"Celta-Osasuna",55,3,28,60,500,180,300,1680,15,84,140,275,900
"133","SP1",2022-11-08,"Osasuna","Barcelona",1,2,"A",1,0,"H",6.35,4.36,1.56,"1-0","1-2",15,3,9,3,4,4,0,2,2,5,3,7,"2-5","Y","Y","N",8,2,"Osasuna-Barcelona",139,3,35,130,3600,390,910,4550,21,105,245,973,2730
"149","SP1",2022-12-31,"Sociedad","Osasuna",2,0,"H",1,0,"H",1.92,3.48,4.67,"1-0","2-0",9,2,11,3,1,1,0,0,3,2,2,5,"3-2","Y","N","N",2,0,"Sociedad-Osasuna",86,2,42,20,100,40,100,840,10,84,210,430,200
"160","SP1",2023-01-09,"Ath Bilbao","Osasuna",0,0,"D",0,0,"D",1.7,3.65,6.1,"0-0","0-0",17,3,3,1,0,1,0,0,14,1,0,15,"14-1","N","N","N",1,0,"Ath Bilbao-Osasuna",0,0,0,10,0,0,150,0,0,0,0,0,0
"164","SP1",2023-01-14,"Osasuna","Mallorca",1,0,"H",0,0,"D",2.11,3.1,4.43,"0-0","1-0",15,4,6,2,2,3,0,0,3,1,1,4,"3-1","N","N","N",5,0,"Osasuna-Mallorca",47,1,22,50,600,50,200,1100,4,22,88,188,200
"175","SP1",2023-01-22,"Elche","Osasuna",1,1,"D",0,1,"A",3.8,3.26,2.21,"0-1","1-1",13,4,8,4,2,1,0,0,7,2,2,9,"7-2","Y","N","N",3,0,"Elche-Osasuna",87,2,49,30,200,60,270,1470,18,98,441,783,540
"185","SP1",2023-01-29,"Osasuna","Ath Madrid",0,1,"A",0,0,"D",3.85,3.24,2.2,"0-0","0-1",14,4,13,5,1,0,0,0,5,4,1,9,"5-4","N","N","N",1,0,"Osasuna-Ath Madrid",74,1,17,10,0,10,90,170,9,17,153,666,90
"192","SP1",2023-02-04,"Espanol","Osasuna",1,1,"D",0,1,"A",2.69,3.07,3.08,"0-1","1-1",9,4,9,3,3,5,1,1,4,3,2,7,"4-3","Y","N","N",8,2,"Espanol-Osasuna",104,2,34,130,4125,260,910,4420,14,68,238,728,1820
"3","SP1",2022-08-13,"Valladolid","Villarreal",0,3,"A",0,0,"D",4.05,3.78,1.95,"0-0","0-3",12,6,10,4,1,0,0,0,4,5,3,9,"4-5","Y","Y","N",1,0,"Valladolid-Villarreal",0,0,0,10,0,30,90,0,27,0,0,0,270
"17","SP1",2022-08-21,"Ath Madrid","Villarreal",0,2,"A",0,0,"D",1.96,3.55,4.3,"0-0","0-2",13,5,19,5,2,3,1,0,5,6,2,11,"5-6","Y","N","N",5,1,"Ath Madrid-Villarreal",163,2,28,75,1350,150,825,2100,22,56,308,1793,1650
"26","SP1",2022-08-28,"Getafe","Villarreal",0,0,"D",0,0,"D",4.64,3.43,1.93,"0-0","0-0",8,2,11,6,1,5,0,0,1,4,0,5,"1-4","N","N","N",6,0,"Getafe-Villarreal",0,0,0,60,500,0,300,0,0,0,0,0,0
"38","SP1",2022-09-04,"Villarreal","Elche",4,0,"H",2,0,"H",1.37,5.17,9.9,"2-0","4-0",18,10,7,0,1,3,0,0,6,4,4,10,"6-4","Y","Y","Y",4,0,"Villarreal-Elche",241,4,65,40,300,160,400,2600,40,260,650,2410,1600
"49","SP1",2022-09-11,"Betis","Villarreal",1,0,"H",0,0,"D",2.95,3.54,2.5,"0-0","1-0",16,5,14,3,1,1,0,0,9,8,1,17,"9-8","N","N","N",2,0,"Betis-Villarreal",61,1,28,20,100,20,340,560,17,28,476,1037,340
"57","SP1",2022-09-18,"Villarreal","Sevilla",1,1,"D",0,1,"A",1.72,3.97,5.19,"0-1","1-1",17,7,12,1,1,5,0,0,6,4,2,10,"6-4","Y","N","N",6,0,"Villarreal-Sevilla",59,2,37,60,500,120,600,2220,20,74,370,590,1200
"62","SP1",2022-10-01,"Cadiz","Villarreal",0,0,"D",0,0,"D",5.82,4.1,1.64,"0-0","0-0",10,2,14,6,2,3,1,0,6,5,0,11,"6-5","N","N","N",5,1,"Cadiz-Villarreal",0,0,0,75,1350,0,825,0,0,0,0,0,0
"78","SP1",2022-10-09,"Sociedad","Villarreal",1,0,"H",1,0,"H",2.64,3.35,2.9,"1-0","1-0",17,5,5,1,5,3,0,0,9,3,1,12,"9-3","N","N","N",8,0,"Sociedad-Villarreal",33,1,23,80,1500,80,960,1840,12,23,276,396,960
"901","SP1",2022-10-17,"Villarreal","Osasuna",2,0,"H",1,0,"H",1.58,4.28,6.33,"1-0","2-0",12,9,14,3,2,6,0,0,8,4,2,12,"8-4","Y","N","N",8,0,"Villarreal-Osasuna",94,2,18,80,1200,160,960,1440,24,36,216,1128,1920
"100","SP1",2022-10-20,"Barcelona","Villarreal",3,0,"H",3,0,"H",1.5,4.91,6.48,"3-0","3-0",16,5,5,1,0,1,0,0,8,0,3,8,"8-0","Y","Y","N",1,0,"Barcelona-Villarreal",104,3,28,10,0,30,80,280,24,84,224,832,240
"108","SP1",2022-10-23,"Villarreal","Almeria",2,1,"H",0,1,"A",1.37,5.29,9.27,"0-1","2-1",11,5,15,4,4,1,1,0,10,4,3,14,"10-4","Y","Y","N",5,1,"Villarreal-Almeria",177,3,34,75,650,225,1050,2550,42,102,476,2478,3150
"118","SP1",2022-10-30,"Ath Bilbao","Villarreal",1,0,"H",0,0,"D",2.22,3.49,3.5,"0-0","1-0",19,7,6,3,2,1,0,0,6,2,1,8,"6-2","N","N","N",3,0,"Ath Bilbao-Villarreal",59,1,9,30,200,30,240,270,8,9,72,472,240
"128","SP1",2022-11-06,"Villarreal","Mallorca",0,2,"A",0,1,"A",1.63,4.02,6.22,"0-1","0-2",9,2,7,5,4,6,0,0,5,2,2,7,"5-2","Y","N","N",10,0,"Villarreal-Mallorca",107,2,30,100,2400,200,700,3000,14,60,210,749,1400
"136","SP1",2022-11-09,"Espanol","Villarreal",0,1,"A",0,0,"D",3.17,3.36,2.44,"0-0","0-1",14,6,10,3,1,3,0,0,4,7,1,11,"4-7","N","N","N",4,0,"Espanol-Villarreal",64,1,13,40,300,40,440,520,11,13,143,704,440
"150","SP1",2022-12-31,"Villarreal","Valencia",2,1,"H",1,1,"D",2.02,3.4,4.29,"1-1","2-1",14,8,13,4,1,3,0,0,5,2,3,7,"5-2","Y","Y","N",4,0,"Villarreal-Valencia",154,3,26,40,300,120,280,1040,21,78,182,1078,840
"153","SP1",2023-01-07,"Villarreal","Real Madrid",2,1,"H",0,0,"D",3.42,3.86,2.12,"0-0","2-1",17,5,13,3,4,1,0,0,6,5,3,11,"6-5","Y","Y","N",5,0,"Villarreal-Real Madrid",170,3,37,50,400,150,550,1850,33,111,407,1870,1650
"161","SP1",2023-01-13,"Celta","Villarreal",1,1,"D",0,1,"A",2.86,3.37,2.67,"0-1","1-1",21,8,3,1,0,2,0,0,14,3,2,17,"14-3","Y","N","N",2,0,"Celta-Villarreal",83,2,25,20,0,40,340,500,34,50,425,1411,680
"174","SP1",2023-01-22,"Villarreal","Girona",1,0,"H",0,0,"D",1.76,4.06,4.76,"0-0","1-0",19,9,8,1,5,5,0,1,3,2,1,5,"3-2","N","N","N",10,1,"Villarreal-Girona",90,1,10,125,3750,125,625,1250,5,10,50,450,625
"188","SP1",2023-01-30,"Villarreal","Vallecano",0,1,"A",0,0,"D",1.72,3.85,5.41,"0-0","0-1",12,3,11,3,2,3,0,0,5,4,1,9,"5-4","N","N","N",5,0,"Villarreal-Vallecano",70,1,34,50,600,50,450,1700,9,34,306,630,450
"193","SP1",2023-02-04,"Elche","Villarreal",3,1,"H",2,1,"H",5.62,3.85,1.7,"2-1","3-1",18,7,14,2,4,2,0,0,6,10,4,16,"6-10","Y","Y","Y",6,0,"Elche-Villarreal",123,4,37,60,800,240,960,2220,64,148,592,1968,3840
"41","SP1",2023-02-04,"Elche","Villarreal",3,1,"H",2,1,"H",5.62,3.85,1.7,"2-1","3-1",18,7,14,2,4,2,0,0,6,10,4,16,"6-10","Y","Y","Y",6,0,"Elche-Villarreal",88.4,1.8,24.325,60,1106.25,121.5,542.875,1455,18.175,56.3,224.425,829.3,1131.375
